objectID,isHighlight,accessionNumber,isPublicDomain,primaryImage,primaryImageSmall,additionalImages/0,additionalImages/1,additionalImages/2,constituents/0,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags/0,constituents/0/role,constituents/0/name,tags/1,tags/2,tags/3,tags/4,additionalImages/3,additionalImages/4,additionalImages/5,additionalImages/6,constituents/1/role,constituents/1/name,constituents/2/role,constituents/2/name,constituents/3/role,constituents/3/name,tags/5,additionalImages/7,additionalImages/8,additionalImages/9,additionalImages/10,additionalImages/11,additionalImages/12,additionalImages/13,additionalImages/14,additionalImages/15,additionalImages/16,tags/6,tags/7,tags/8,tags/9,tags/10,additionalImages/17,additionalImages/18,additionalImages/19,additionalImages/20,additionalImages/21,additionalImages/22,additionalImages/23,additionalImages/24,additionalImages/25,additionalImages/26,additionalImages/27,additionalImages/28,additionalImages/29,additionalImages/30,additionalImages/31,additionalImages/32,additionalImages/33,additionalImages/34,additionalImages/35,additionalImages/36,tags/11,tags/12,additionalImages/37,additionalImages/38,additionalImages/39,additionalImages/40,additionalImages/41,additionalImages/42,additionalImages/43,constituents/4/role,constituents/4/name,tags/13,tags/14,tags/15,additionalImages/44,additionalImages/45,additionalImages/46,additionalImages/47,additionalImages/48,additionalImages/49,additionalImages/50,additionalImages/51,additionalImages/52,additionalImages/53,additionalImages/54,additionalImages/55,constituents/5/role,constituents/5/name,constituents/6/role,constituents/6/name,constituents/7/role,constituents/7/name,constituents/8/role,constituents/8/name,constituents/9/role,constituents/9/name,constituents/10/role,constituents/10/name,additionalImages/56,additionalImages/57,additionalImages/58,additionalImages/59,additionalImages/60,additionalImages/61,additionalImages/62,additionalImages/63,additionalImages/64,additionalImages/65,additionalImages/66,additionalImages/67,additionalImages/68,tags/16,tags/17
544519,true,40.2.1,true,https://images.metmuseum.org/CRDImages/eg/original/0227r2_SEC501K.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/0227r2_SEC501K.jpg,https://images.metmuseum.org/CRDImages/eg/original/DP228714.jpg,https://images.metmuseum.org/CRDImages/eg/original/40.2.1_detail_2.jpg,https://images.metmuseum.org/CRDImages/eg/original/DT226228.jpg,,Egyptian Art,"Figurine, dog",Mechanical Dog,,New Kingdom,Dynasty 18,reign of Amenhotep III,,,,,,,,,,,ca. 1390–1353 B.C.,-1390,-1353,Ivory (elephant),L. 18.2 × H. 6.1 × W. 3.6 cm (7 3/16 × 2 3/8 × 1 7/16 in.),"Rogers Fund, 1940",From,,,,Egypt,,,,,,,,,,2019-08-27T04:39:49.007Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/544519,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436014,false,33.77,true,https://images.metmuseum.org/CRDImages/ep/original/DT1961.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1961.jpg,,,,,European Paintings,Painting,Hunting Dogs with Dead Hare,,,,,,Artist,,Gustave Courbet,"French, Ornans 1819–1877 La Tour-de-Peilz",,"Courbet, Gustave",French,1819,1877,1857,1857,1857,Oil on canvas,36 1/2 x 58 1/2 in. (92.7 x 148.6 cm),"H. O. Havemeyer Collection, Gift of Horace Havemeyer, 1933",,,,,,,,,,,,Paintings,,,2019-05-23T10:39:17.207Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/436014,Hunting,Artist,Gustave Courbet,Rabbits,Forests,Trees,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555715,false,24.1.51,true,https://images.metmuseum.org/CRDImages/eg/original/DP349853.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP349853.jpg,,,,,Egyptian Art,Dog,Figurine of a Dog,,Middle Kingdom,Dynasty 12,reign of Senwosret I,,,,,,,,,,,ca. 1961–1917 B.C.,-1961,-1961,Faience,L. 5.3 cm (2 1/16 in.); W. 2.3 cm (7/8 in.); H. 3.6 cm (1 7/16 in.),"Rogers Fund and Edward S. Harkness Gift, 1924",From,,,,Egypt,Memphite Region,Lisht South,Pyramid Complex of Senwosret I,"outer court west, east of boat pit","MMA excavations, 1923–24",,,,,2019-03-14T04:40:23.643Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/555715,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8807,false,43.75,true,https://images.metmuseum.org/CRDImages/ad/original/DP216605.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DP216605.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP216614.jpg,https://images.metmuseum.org/CRDImages/ad/original/DP216615.jpg,https://images.metmuseum.org/CRDImages/ad/original/130907.jpg,,The American Wing,Salt,Salt,American,,,,,Maker,,Jacob Hurd,"American, Boston, Massachusetts 1702/3–1758 Boston, Massachusetts",,"Hurd, Jacob",American,1702,1758,1730–40,1730,1740,Silver,1 1/4 x 2 3/4 x 2 7/16 in. (3.2 x 7 x 6.2 cm); 2 oz. 4 dwt. (68.9 g),"Rogers Fund, 1943",Made in,Boston,Massachusetts,,United States,New England,,,,,,Silver,,,2019-07-26T03:00:41.71Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/8807,Dogs,Maker,Jacob Hurd,,,,,https://images.metmuseum.org/CRDImages/ad/original/130837.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559975,false,30.8.355,true,https://images.metmuseum.org/CRDImages/eg/original/LC-30_8_355_EGDP023575.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-30_8_355_EGDP023575.jpg,,,,,Egyptian Art,"Amulet, dog",Recumbent dog amulet,,Ptolemaic or Roman Period,,,,,,,,,,,,,200 BC–200 AD,-200,200,Chalcedony,L. 1.8 × W. 0.8 × H. 0.9 cm (11/16 × 5/16 × 3/8 in.),"Theodore M. Davis Collection, Bequest of Theodore M. Davis, 1915",From,,,,Egypt,,,,,,,,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/559975,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545210,false,10.130.2520,true,https://images.metmuseum.org/CRDImages/eg/original/DP116078.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP116078.jpg,https://images.metmuseum.org/CRDImages/eg/original/DP116079.jpg,https://images.metmuseum.org/CRDImages/eg/original/10.130.2520_detail_1.jpg,https://images.metmuseum.org/CRDImages/eg/original/21W_CAT1381_1391R3.jpg,,Egyptian Art,"Cosmetic spoon, dog",Cosmetic dish in the shape of a dog,,New Kingdom,Dynasty 18,,,,,,,,,,,,ca. 1550–1295 B.C.,-1550,-1295,Bone,L. 9.7 cm (3 13/16 in.); W. 2.7 cm (1 1/16 in.); H. 0.9 cm (3/8 in.) Th. at head 0.6 cm (1/4 in.),"Gift of Helen Miller Gould, 1910",From,,,,Egypt,,,,,,,,,,2019-04-02T03:00:47.7Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/545210,Cosmetic Tools,,,Dogs,,,,https://images.metmuseum.org/CRDImages/eg/original/21W_CAT138_139R2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543886,false,09.180.134,true,https://images.metmuseum.org/CRDImages/eg/original/DT207722.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DT207722.jpg,,,,,Egyptian Art,"Relief, two young dogs",Relief fragment with two young dogs,,Old Kingdom,Dynasty 5,reign of Niuserre–Unis,,,,,,,,,,,ca. 2400–2323 B.C.,-2400,-2323,"Limestone, paint",H. 20 cm (7 7/8 in.); W. 18 cm (7 1/16 in.),"Rogers Fund, 1909",From,,,,Egypt,Memphite Region,Lisht North,Pyramid Complex of Amenemhat I,Pyramid core,"MMA excavations, 1908–09",,,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/543886,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255121,false,62.10.3,true,https://images.metmuseum.org/CRDImages/gr/original/DP20789.jpg,https://images.metmuseum.org/CRDImages/gr/web-large/DP20789.jpg,,,,,Greek and Roman Art,Statuette of a dog,Bronze statuette of a dog,Roman,Mid or Late Imperial,,,,,,,,,,,,,2nd–3rd century A.D.,100,299,Bronze,H. 3 3/8 in. (8.6 cm),"Purchase, Edith Perry Chapman Fund, 1962",,,,,,,,,,,,Bronzes,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/255121,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551827,false,26.7.882,true,https://images.metmuseum.org/CRDImages/eg/original/LC-26_7_882_EGDP023549.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/LC-26_7_882_EGDP023549.jpg,https://images.metmuseum.org/CRDImages/eg/original/LC-26_7_882_EGDP023553.jpg,https://images.metmuseum.org/CRDImages/eg/original/LC-26_7_882_EGDP023550.jpg,https://images.metmuseum.org/CRDImages/eg/original/LC-26_7_882_EGDP023551.jpg,,Egyptian Art,"Amulet, Dog",Reclining dog,,Ptolemaic Period,,,,,,,,,,,,,664–30 B.C.,-332,-30,Pale green faience,L. 2.2 × W. 1.3 × H. 1.5 cm (7/8 × 1/2 × 9/16 in.),"Purchase, Edward S. Harkness Gift, 1926",From,,,,Egypt,,,,,,,,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/551827,Dogs,,,,,,,https://images.metmuseum.org/CRDImages/eg/original/LC-26_7_882_EGDP023552.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329081,true,1988.433.1,true,https://images.metmuseum.org/CRDImages/an/original/DT847.jpg,https://images.metmuseum.org/CRDImages/an/web-large/DT847.jpg,https://images.metmuseum.org/CRDImages/an/original/vs1988.433.1xx.jpg,https://images.metmuseum.org/CRDImages/an/original/DP297594.jpg,https://images.metmuseum.org/CRDImages/an/original/DP297595.jpg,,Ancient Near Eastern Art,Cuneiform tablet,"Proto-Cuneiform tablet with seal impressions: administrative account of barley distribution with cylinder seal impression of a male figure, hunting dogs, and boars",Sumerian,Jemdet Nasr,,,,,,,,,,,,,ca. 3100–2900 B.C.,-3100,-2900,Clay,2.17 x 2.36 x 1.63 in. (5.5 x 6 x 4.15 cm),"Purchase, Raymond and Beverly Sackler Gift, 1988",,,,,,Mesopotamia,probably from Uruk (modern Warka),,,,,Clay-Tablets-Inscribed-Seal Impressions,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/329081,Men,,,Cuneiform,Boars,Dogs,Documents,https://images.metmuseum.org/CRDImages/an/original/DP297597.jpg,https://images.metmuseum.org/CRDImages/an/original/DP293249.jpg,https://images.metmuseum.org/CRDImages/an/original/DP297596.jpg,https://images.metmuseum.org/CRDImages/an/original/DP-211-743.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
