objectID,isHighlight,accessionNumber,isPublicDomain,primaryImage,primaryImageSmall,constituents/0,department,objectName,title,culture,period,dynasty,reign,portfolio,artistRole,artistPrefix,artistDisplayName,artistDisplayBio,artistSuffix,artistAlphaSort,artistNationality,artistBeginDate,artistEndDate,objectDate,objectBeginDate,objectEndDate,medium,dimensions,creditLine,geographyType,city,state,county,country,region,subregion,locale,locus,excavation,river,classification,rightsAndReproduction,linkResource,metadataDate,repository,objectURL,tags/0,constituents/0/role,constituents/0/name,constituents/1/role,constituents/1/name,constituents/2/role,constituents/2/name,constituents/3/role,constituents/3/name,tags/1,tags/2,tags/3,tags/4,additionalImages/0,additionalImages/1,additionalImages/2,additionalImages/3,additionalImages/4,additionalImages/5,additionalImages/6,additionalImages/7,additionalImages/8,tags/5,tags/6,tags/7,tags/8,tags/9,tags/10,tags/11,tags/12,tags/13,additionalImages/9,additionalImages/10,additionalImages/11,additionalImages/12,tags/14,tags/15,tags/16,tags/17,constituents/4/role,constituents/4/name,additionalImages/13,additionalImages/14,additionalImages/15,additionalImages/16,additionalImages/17,additionalImages/18,additionalImages/19,additionalImages/20,additionalImages/21,additionalImages/22
545725,false,26.7.902,true,https://images.metmuseum.org/CRDImages/eg/original/DP349853.jpg,https://images.metmuseum.org/CRDImages/eg/web-large/DP349853.jpg,,Egyptian Art,"Figurine, Cat",Cat figurine,,Middle Kingdom,Dynasty 12,,,,,,,,,,,,ca. 1981–1802 B.C.,-1981,-1981,"Blue faience with black spots, paint",L. 6.2 cm (2 7/16 in.); W. 2.3 cm (7/8 in.); H. 3.8 cm (1 1/2 in.),"Purchase, Edward S. Harkness Gift, 1926",Possibly from,,,,,Memphite Region,Heliopolis (Iunu; On),,,,,,,,2019-03-20T04:38:25.247Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/545725,Cats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720551,false,62.602.713,true,https://images.metmuseum.org/CRDImages/dp/original/DP874652.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP874652.jpg,,Drawings and Prints,Print,Dogs and Still Life,,,,,Houghton Gallery,Engraver,,Pierre Charles Canot,"French, Paris 1710–1777 Kentish Town, London (active England)",,"Canot, Pierre Charles",,1710,1777,1778,1778,1778,Etching and engraving,Sheet (trimmed): 8 11/16 × 9 15/16 in. (22 × 25.3 cm),"Rogers Fund, 1962",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/720551,Birds,Engraver,Pierre Charles Canot,Artist,After Charles Jervas,Artist,Intermediary draftsman Joseph Farington,Publisher,John Boydell,Cats,Dogs,Still Life,Coat of Arms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13576,false,38.157,true,https://images.metmuseum.org/CRDImages/ad/original/DT823.jpg,https://images.metmuseum.org/CRDImages/ad/web-large/DT823.jpg,,The American Wing,Carpet,Embroidered Carpet,American,,,,,Maker,,Zeruah H. Guernsey Caswell,1805–ca. 1895,,"Caswell, Zeruah H. Guernsey",,1805,1895,1832–35,1832,1835,"Wool, embroidered in chain-stitch",156 x 147 in. (396.2 x 373.4 cm),"Gift of Katharine Keyes, in memory of her father, Homer Eaton Keyes, 1938",Made in,Castleton,Vermont,,United States,New England,,,,,,Textiles,,,2019-07-12T03:00:32.597Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/13576,Birds,Maker,Zeruah H. Guernsey Caswell,,,,,,,Cats,Flowers,Dogs,Plants,https://images.metmuseum.org/CRDImages/ad/original/DT272980.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272981.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272982.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272983.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272984.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272985.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272986.jpg,https://images.metmuseum.org/CRDImages/ad/original/DT272987.jpg,https://images.metmuseum.org/CRDImages/ad/original/SC65324.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470391,false,1999.243,true,https://images.metmuseum.org/CRDImages/cl/original/DP102858.jpg,https://images.metmuseum.org/CRDImages/cl/web-large/DP102858.jpg,,The Cloisters,Roundel,"Sorgheloos (""Carefree"") in Poverty",Netherlandish,,,,,,,,,,,,,,1510–20,1510,1520,"Colorless glass, vitreous paint and silver stain",Overall: 8 7/8 in. (22.5 cm),"The Cloisters Collection, 1999",,,,,,,,,,,,Glass-Stained,,,2019-09-14T05:02:12.083Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/470391,Interiors,,,,,,,,,Men,Cats,Dogs,Cooking,https://images.metmuseum.org/CRDImages/cl/original/cdi1999-243.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788953,false,59.533.1614,true,https://images.metmuseum.org/CRDImages/dp/original/DP884186.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP884186.jpg,,Drawings and Prints,Print,Neighbourly Refreshment,,,,,,Artist,,Thomas Rowlandson,"British, London 1757–1827 London",,"Rowlandson, Thomas",,1757,1827,1815,1815,1815,Hand-colored etching,Sheet: 13 9/16 × 9 3/4 in. (34.4 × 24.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,,2019-02-24T03:00:47.23Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/788953,Satire,Artist,Thomas Rowlandson,,,,,,,Couples,Men,Women,Roosters,,,,,,,,,,Cats,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,
786828,false,59.533.1378,true,https://images.metmuseum.org/CRDImages/dp/original/DP883725.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP883725.jpg,,Drawings and Prints,Print,The Rabbit Merchant,,,,,,Artist,,Thomas Rowlandson,"British, London 1757–1827 London",,"Rowlandson, Thomas",,1757,1827,1810?,1805,1815,Hand-colored etching,Sheet: 9 13/16 × 14 1/16 in. (24.9 × 35.7 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",Published in,London,,,,,,,,,,Prints,,,2019-02-21T03:00:46.757Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/786828,Cats,Artist,Thomas Rowlandson,Publisher,Thomas Tegg,,,,,Dogs,Rabbits,Satire,Men,,,,,,,,,,Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659123,false,35.75.3(22),true,https://images.metmuseum.org/CRDImages/dp/original/DP364584.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP364584.jpg,,Drawings and Prints,Books Prints Ornament & Architecture,"Essempio di recammi, page 11 (verso)",,,,,,Author,,Giovanni Antonio Tagliente,"Italian, Venice ca. 1465–1528 Venice",,"Tagliente, Giovanni Antonio",Italian,1465,1528,1530,1530,1530,Woodcut,Overall: 7 13/16 x 6 3/16 x 3/8 in. (19.8 x 15.7 x 1 cm),"Harris Brisbane Dick Fund, 1935",,,,,,,,,,,,Books,,,2019-05-14T03:00:46.757Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/659123,Dragons,Author,Giovanni Antonio Tagliente,Publisher,Giovanni Antonio di Nicolini da Sabio e i fratelli,,,,,Camels,Cats,Horses,Dogs,,,,,,,,,,Rabbits,Rams,Urns,,,,,,,,,,,,,,,,,,,,,,,,,,
428829,false,2013.194,true,https://images.metmuseum.org/CRDImages/dp/original/DP832292.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP832292.jpg,,Drawings and Prints,Print Engraving,"The Letter E, from The Alphabet",,,,,,Artist,,Master ES,"German, active ca. 1450–67",,Master ES,German,1445,1467,1466–67,1466,1467,Engraving,5 9/16 × 4 1/2 in. (14.1 × 11.4 cm),"Gift of Mr. and Mrs. L. von Hoffmann, 2013",,,,,,,,,,,,Prints,,,2019-04-30T04:48:30.26Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/428829,Birds,Artist,Master ES,,,,,,,Men,Cats,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744902,false,2016.360.1,true,https://images.metmuseum.org/CRDImages/dp/original/DP862842.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP862842.jpg,,Drawings and Prints,Prints,"Enigmes Joyeuses pour les Bons Esprits, Plate 1",,,,,,Artist,,Jan van Haelbeeck,"Flemish, active Paris (and Copenhagen?), ca. 1600–1630, died Paris, ca. 1630",,"van Haelbeeck, Jan",,1595,1635,ca. 1615,1610,1620,Copper engraving,Sheet: 4 3/8 × 5 1/2 in. (11.1 × 14 cm),"Mary Oenslager Fund, 2016",,,,,,,,,,,,Prints,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/744902,Women,Artist,Jan van Haelbeeck,Artist,Jean Leclerc IV,,,,,Cats,Dogs,Working,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367159,false,1977.382.5,true,https://images.metmuseum.org/CRDImages/dp/original/DP804260.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP804260.jpg,,Drawings and Prints,Drawing,"Sketches of Five Statues:  ""Love,"" ""Aristide, ""Putto with a Cat,"" ""Psyche,"" and ""Putto with a Dog""",,,,,,Artist,,John Gibson,"British, Gwynedd, Wales 1790–1866 Rome",,"Gibson, John","British, Welsh",1790,1866,ca. 1850,1845,1855,"Pen and brown ink, graphite",sheet: 9 1/8 x 7 9/16 in. (23.1 x 19.2 cm),"Gift of Mrs. John De Witt Peltz, 1977",,,,,,,,,,,,Drawings,,,2019-02-01T10:50:49.477Z,"Metropolitan Museum of Art, New York, NY",https://www.metmuseum.org/art/collection/search/367159,Men,Artist,John Gibson,,,,,,,Cats,Dogs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
